Team Name,Name,Wins,Losses,Elo (avg=1000),Trueskill Rating (avg=25),Peak MMR,zero Number,Active,Race,Players Defeated,Players Lost To
MSFT-A,KingOfRage,6,5,998,25.24 ± 2.9,3738,4,Yes,Zerg,Taeho ; Treadle ; Infinity ; MrJefferson ; FireFerret ; Cosmic,Jackal ; Maphtar ; BounD ; brueda ; PluTo
Bloomberg Bloomzerg,Infinity,12,15,974,26.38 ± 1.9,4404,3,Yes,Protoss,You ; bScherm ; Alephnaut ; MaximumSnail ; Sunflasher ; Mantric ; quarkral ; MrSleep ; MyKill ; DanStraight ; CliKing ; Argyle,KingOfRage ; Arcane ; Foggy ; Alephnaut ; bScherm ; Vdek ; DarkZero ; ViceAdmiral ; MrJin ; You ; juno ; ZESTisBEST ; ZESTisBEST ; Alken ; OrangCaramel
AltSource,MADMDK,1,5,868,15.94 ± 4.4,2503,,No,Protoss,lifehckr,Jackal ; Pacifists ; Phate ; LuMorY ; Enterprise
Facebook Heart,Enterprise,7,3,1140,31.45 ± 3.6,4624,2,No,Zerg,Alken ; DOJ ; rezecib ; kelvinzhong ; MUSTARDTIGER ; MADMDK ; xale,BounD ; BounD ; brueda
Facebook Zuckerzerg,PluTo,24,14,1241,33.20 ± 1.5,4490,2,Yes,Protoss,tso ; Kevin ; ShOckWavE ; Slumdog ; Inkarnate ; Inkarnate ; Inkarnate ; brueda ; Cicero ; WhiteRa ; Gyalgatine ; Taeho ; ZergGirl ; chelseafan ; pzlin ; KingOfRage ; ABlindMan ; Maphtar ; FutureNights ; HawaiiRice ; Thames ; Rook ; Pacifists ; Jackal,BilboBagins ; DarkZero ; Auditor ; SilverBullet ; TwoBaneZ ; Emil ; Slumdog ; Slumdog ; Mestaman ; Alken ; Alken ; Liqht ; StoicWilly ; MrNovember
Google BetaStars,HawaiiRice,1,4,922,21.43 ± 4.6,3954,4,No,Random,nalakuwala,shengy ; LatinPride ; DarkZero ; PluTo
Google A-Movers,Gyalgatine,15,14,1083,28.87 ± 1.8,4544,3,Yes,Terran,FAir ; Slumdog ; keelar ; GreatArchon ; SourSpinach ; DOJ ; Vutalisk ; Gokhan ; LuisG ; Dejanigma ; Atlantean ; Starviper ; Jackal ; Greghatch ; Greghatch,Feniks ; Alephnaut ; Puzzle ; Crilmon ; brueda ; YolBolsun ; juno ; PluTo ; ShOckWavE ; Pancakes ; Kevin ; Kevin ; danceparty ; MrNovember
Alexa 12 Pool,Slumdog,22,10,1234,33.34 ± 1.8,4616,2,Yes,Terran,OrangCaramel ; Alken ; ShOckWavE ; PluTo ; PluTo ; Newbi ; NaCl ; GreatArchon ; Alephnaut ; Taeho ; LuMorY ; Fran ; Iceman ; Lagforce ; mmun ; shengy ; shengy ; Nitrous ; Hyz ; ChozSun ; Winze ; Winze,Taeho ; Gyalgatine ; Ketse ; Turing ; SilverBullet ; Inkarnate ; GritBear ; PluTo ; StoicWilly ; danceparty
Eagleview SC2,DJRUFIO,5,13,830,19.59 ± 2.8,3212,6,No,Terran,Dejanigma ; Sunflasher ; MAznDragon ; KGBXaiver ; sineon,Argyle ; StdyFriend ; FireFerret ; Philosotoss ; Laserath ; wokparty ; Saichotic ; NaCl ; Zip ; fuinkaze ; Kitagawa ; StoicWilly ; StoicWilly
Garmin Fenix,Sunflasher,4,8,946,21.84 ± 3.4,3344,,Yes,Protoss,IslandCow ; juliuspark ; SophieG ; Galoubet,DJRUFIO ; MrJefferson ; Infinity ; sandboX ; Alex ; Spectre ; juno ; ShOckWavE
Facebook Wings,Littlenold,1,3,927,19.02 ± 5.2,3672,,No,Zerg,RexAliquid,MorOs ; Treadle ; KiDZ
IBM Raiders,Treadle,5,5,1019,27.00 ± 3.2,3770,4,No,Terran,LatinPride ; BilboBagins ; Littlenold ; KinCornKarn ; sergeydr,KingOfRage ; Vutalisk ; Puzzle ; nalakuwala ; juno
Bloomberg Bloomzerg,brueda,27,15,1180,32.57 ± 1.5,5021,2,Yes,Zerg,StoicWilly ; Alken ; Mestaman ; Katfish ; Inkarnate ; Enterprise ; Ketse ; bScherm ; whsper ; whsper ; SourSpinach ; Gyalgatine ; Puzzle ; Arcane ; Arcane ; UWUMcSwagXD ; LuMorY ; Iceman ; Laserath ; KingOfRage ; CODADarson ; DaFoo ; Anelit ; rpenguin ; TBSS ; MDM ; CliKing,rezecib ; Unholy ; NaCl ; NaCl ; Inkarnate ; juno ; juno ; juno ; PluTo ; Mestaman ; OrangCaramel ; OrangCaramel ; OrangCaramel ; KawaiiRice ; AGiantSmurf
Microsoft Macrohard,rpenguin,1,2,967,22.14 ± 5.4,3493,6,No,Terran,sineon,Fent ; brueda
Peloton Zealot Legs,Iceman,13,15,1000,23.63 ± 2.0,3681,3,Yes,Protoss,juno ; tskuzzy ; Anelit ; cindy ; Pocari ; Syngularity ; Arioch ; Atlantean ; PanDasoul ; Ockie ; BondiolaKing ; Majak ; Winze,juice ; ABlindMan ; AlexD ; pzlin ; chelseafan ; chelseafan ; Marshmellow ; Garett ; Garett ; DetRice ; tskuzzy ; brueda ; Slumdog ; Kevin ; StoicWilly
Google Xpendables,Arioch,4,7,901,21.13 ± 3.2,3307,6,Yes,Zerg,Sowha ; wokparty ; maryp ; BlueTopaz,imaznation ; Iceman ; LuMorY ; Alex ; PandaKhan ; You ; juno
Facebook Zuckerzerg,SourSpinach,22,20,1092,30.91 ± 1.5,4793,2,Yes,Protoss,AGiantSmurf ; OrangCaramel ; Kevin ; Mestaman ; Inkarnate ; SilverBullet ; Cicero ; Cicero ; Cicero ; NaCl ; Puzzle ; JimGaynor ; LuMorY ; Allen ; ReMiiX ; commamloser ; Lagforce ; BigJoeLogs ; Syzygy ; MyKill ; Pacifists ; PapaGil,shengy ; BicepCurls ; Gyalgatine ; Zip ; Krayze ; Turing ; brueda ; Inkarnate ; YolBolsun ; Katfish ; Mestaman ; Mestaman ; ZESTisBEST ; Alken ; Liqht ; OrangCaramel ; OrangCaramel ; tso ; Zero ; Zero
Google 1E100 Ads Per Minute,Cicero,14,11,1144,30.14 ± 2.0,4521,3,Yes,Protoss,NaCl ; Alpha ; ThEUnKnowN ; frugs ; UWUMcSwagXD ; DisCerN ; DisCerN ; ABlindMan ; Syngularity ; mmun ; shengy ; sergeydr ; xale ; ChozSun,MDM ; Arioch ; IIIIIIIIIIII ; Arcane ; SourSpinach ; SourSpinach ; SourSpinach ; Ender ; juno ; PluTo ; ZESTisBEST
AltSource,Garett,6,3,1085,29.21 ± 3.5,3846,3,No,Zerg,Arcane ; Iceman ; Iceman ; KinCornKarn ; MsWolf ; Galoubet,whsper ; DarthNoob ; StoicWilly
Facebook Zuckerzerg,Arcane,18,17,1055,29.58 ± 1.7,4415,2,Yes,Protoss,Inkarnate ; Auditor ; Cicero ; GreatArchon ; GreatArchon ; Taeho ; TallMonster ; DisCerN ; LatinPride ; Infinity ; CepHaLoPoD ; icyCow ; DonRagu ; FearCat ; shengy ; Maarfon ; Atlantean ; QTWO,StagaDish ; Wailord ; Garett ; Vdek ; brueda ; brueda ; TwoBaneZ ; YolBolsun ; YolBolsun ; GritBear ; ZESTisBEST ; qxc ; FAir ; FAir ; danceparty ; tso ; Zero
RHECS,Nitrous,7,13,905,23.13 ± 2.4,3262,4,Yes,Terran,juba ; LuMorY ; Kisa ; clahey ; clahey ; PanDasoul ; Daggerfield,Fran ; DARKARTY ; chelseafan ; Alex ; juba ; Unholy ; TallMonster ; GreatArchon ; fuinkaze ; You ; Slumdog ; StoicWilly ; MrNovember
Google Noobernetes,clahey,0,2,929,19.01 ± 6.6,2046,,No,Terran,,Nitrous ; Nitrous
Google A-Movers,SilverBullet,9,4,1192,32.94 ± 2.8,4561,3,Yes,Terran,PluTo ; Slumdog ; Puzzle ; Kolo ; Malk ; icyCow ; imaznation ; Hyz ; Hyz,SourSpinach ; NaCl ; YolBolsun ; MrNovember
Wraitheon,Puzzle,6,5,1079,29.93 ± 2.8,4527,3,No,Protoss,StoicWilly ; Gyalgatine ; DOJ ; DOJ ; Treadle ; seu,SourSpinach ; NaCl ; brueda ; SilverBullet ; OrangCaramel
Shopify Dropshippers,BounD,8,7,1016,29.74 ± 2.9,4774,3,No,Protoss,Enterprise ; Enterprise ; Vdek ; KingOfRage ; Vauxhall ; PandaLove ; shengy ; Tetto,Krayze ; Turing ; Turing ; TwoBaneZ ; Mestaman ; Zero ; Zero
VISARD,Tetto,0,4,845,12.52 ± 5.0,0,,No,Zerg,,Syzygy ; Sup ; BounD ; StirFry
Shopify Dropshippers,Alephnaut,17,20,1073,27.33 ± 1.7,4560,2,Yes,Terran,danceparty ; tskuzzy ; Lyte ; nowitzki ; Gyalgatine ; Taeho ; Taeho ; frugs ; Alex ; nStrage ; Infinity ; SagittariusG ; IIIIIIIIIIII ; FearCat ; quarkral ; ITmedic ; Galoubet,FearCat ; Infinity ; DOJ ; Chiy ; ZergGirl ; ThEUnKnowN ; GreatArchon ; ViceAdmiral ; YolBolsun ; Katfish ; juno ; Slumdog ; ZESTisBEST ; Kevin ; OrangCaramel ; OrangCaramel ; KawaiiRice ; KawaiiRice ; Frontstab ; danceparty
VISARD,SagittariusG,0,1,960,20.79 ± 7.2,0,,No,Terran,,Alephnaut
Bloomberg Bloomzerg,Youiur,0,7,813,13.52 ± 4.7,3416,,Yes,Zerg,,Anelit ; Syrril ; coolwhip ; Taeho ; whsper ; fuinkaze ; MrNovember
MSFT-A,fuinkaze,19,11,1126,31.11 ± 1.9,4243,3,Yes,Protoss,FAir ; Inkarnate ; Zip ; GreatArchon ; joLin ; Anti ; MrJefferson ; icyCow ; Kisa ; HowieZ ; Projekt ; Thames ; Nitrous ; Maarfon ; DanStraight ; juice ; DJRUFIO ; Youiur ; Argyle,Syrril ; eXiled ; You ; keelar ; Inkarnate ; Katfish ; Emil ; qxc ; StoicWilly ; OrangCaramel ; tso
Eagleview SC2,Maphtar,9,13,968,22.46 ± 2.3,3330,4,No,Terran,Syrril ; KingOfRage ; DaFoo ; Anelit ; MrSleep ; Evan ; Nebula ; Nebula ; Cots,MyKill ; Shardarki ; DaFoo ; Vutalisk ; Vutalisk ; DisCerN ; Foggy ; GreatArchon ; bablit ; MrJin ; PluTo ; StoicWilly ; MrNovember
Garmin Fenix,MrJin,15,3,1158,31.94 ± 3.1,3804,4,Yes,Protoss,Mannered ; DisCerN ; Expendable ; Infinity ; Maphtar ; rskaliotis ; halflings ; Projekt ; Lackthereof ; Lackthereof ; IGotPlanz ; bleatongordy ; FarFetchd ; FarFetchd ; ChozSun,Noodle ; bablit ; ShOckWavE
IBM Virtual Private Carriers,GreatArchon,23,19,1112,27.89 ± 1.6,4245,3,Yes,Terran,Alephnaut ; StirFry ; Unholy ; DOJ ; chelseafan ; LuMorY ; Kixantrix ; AlexD ; Maphtar ; MrJefferson ; MrJefferson ; Tiran ; Tiran ; baemax ; Nitrous ; Zeman ; Zeman ; Jackal ; lifehckr ; Cots ; Winze ; Argyle ; Galoubet,Fran ; chelseafan ; SadKeev ; Arcane ; Arcane ; Gyalgatine ; fuinkaze ; Inkarnate ; Inkarnate ; Katfish ; GritBear ; Slumdog ; StoicWilly ; StoicWilly ; StoicWilly ; StoicWilly ; FAir ; FAir ; MrNovember
Facebook Wings,StirFry,5,3,1072,25.62 ± 3.9,3009,8,No,Protoss,Tarnasa ; Bumblebee ; Tetto ; Evan ; MsWolf,Vauxhall ; GreatArchon ; You
Facebook Heart,Mantric,2,4,927,23.52 ± 4.2,4346,5,No,Zerg,McStruthers ; halflings,Infinity ; Kolo ; Unknown ; Inkarnate
AltSource,McStruthers,4,3,1041,27.69 ± 4.4,2817,6,No,Terran,Anelit ; Trizar ; owlerX ; FarFetchd,Mantric ; Kitagawa ; Kitagawa
